ville;magasin;nb
Nice;Cimiez;162
Nantes;Erdre;101
Strasbourg;Cathedrale;abc
Bordeaux;Bacalan;194
Paris;Republique;110
Marseille;Prado;43
Lyon;Bellecour;188
Toulouse;Rangueil;84
Nice;Promenade;176
Nantes;Commerce;177
Strasbourg;Cathedrale;27
Bordeaux;Quinconces;151
Paris;Republique;37
Marseille;VieuxPort;29
Lyon;CroixRousse;52
Toulouse;Rangueil;37
Nice;Promenade;119
Nantes;Erdre;58
Strasbourg;Orangerie;90
Bordeaux;Quinconces;26
Paris;Montmartre;193
Marseille;VieuxPort;108
Lyon;Bellecour;44
Toulouse;Capitole;160
Nice;Cimiez;175
Nantes;Commerce;179
Strasbourg;Cathedrale;173
Bordeaux;Bacalan;68
Paris;Republique;53
Marseille;VieuxPort;34
Lyon;CroixRousse;74
Toulouse;Rangueil;176
Nice;Promenade;41
Nantes;Commerce;169
Strasbourg;Orangerie;135
Bordeaux;Quinconces;27
Paris;Republique;152
Marseille;Prado;153
Lyon;Bellecour;148
Toulouse;Capitole;151
Nice;Promenade;176
Nantes;Erdre;50
Strasbourg;Orangerie;-49
Bordeaux;Bacalan;155
Paris;Bastille;195
Marseille;VieuxPort;147
Lyon;CroixRousse;176
Toulouse;Capitole;57
Nice;Promenade;164
Nantes;Erdre;183
Strasbourg;Cathedrale;124
Bordeaux;Bacalan;113
Paris;Republique;66
Marseille;VieuxPort;31
Lyon;Bellecour;97
Toulouse;Rangueil;150
Nice;Promenade;24
Nantes;Erdre;43
Strasbourg;Orangerie;122
Bordeaux;Quinconces;87
Paris;Republique;78
Marseille;Prado;174
Lyon;CroixRousse;154
Toulouse;Rangueil;162
Nice;Promenade;36
Nantes;Erdre;97
Strasbourg;Cathedrale;abc
Bordeaux;Bacalan;97
Paris;Republique;123
Marseille;Prado;86
Lyon;CroixRousse;42
Toulouse;Rangueil;36
Nice;Cimiez;73
Nantes;Erdre;21
Strasbourg;Orangerie;154
Bordeaux;Bacalan;58
Paris;Bastille;74
Marseille;VieuxPort;127
Lyon;Bellecour;170
Toulouse;Capitole;85
Nice;Cimiez;33
Nantes;Commerce;24
Strasbourg;Orangerie;51
Bordeaux;Quinconces;142
Paris;Montmartre;193
Marseille;Prado;137
Lyon;CroixRousse;114
Toulouse;Rangueil;80
Nice;Promenade;77
Nantes;Erdre;165
Strasbourg;Cathedrale;71
Bordeaux;Quinconces;-33
Paris;Bastille;38
Marseille;Prado;87
Lyon;Bellecour;91
Toulouse;Capitole;180
Nice;Promenade;193
Nantes;Erdre;81
Strasbourg;Orangerie;161
Bordeaux;Bacalan;71
Paris;Republique;150
Marseille;Prado;82
Lyon;CroixRousse;130
Toulouse;Rangueil;63
Nice;Cimiez;180
Nantes;Erdre;149
Strasbourg;Orangerie;166
Bordeaux;Bacalan;111
Paris;Bastille;172
Marseille;VieuxPort;181
Lyon;Bellecour;90
Toulouse;Capitole;57
Nice;Cimiez;50
Nantes;Erdre;139
Strasbourg;Orangerie;65
Bordeaux;Quinconces;145
Paris;Bastille;75
Marseille;VieuxPort;145
Lyon;Bellecour;112
Toulouse;Capitole;148
Nice;Promenade;107
Nantes;Commerce;29
Strasbourg;Cathedrale;168
Bordeaux;Quinconces;150
Paris;Montmartre;189
Marseille;VieuxPort;166
Lyon;CroixRousse;119
Toulouse;Capitole;161
Nice;Cimiez;23
Nantes;Erdre;185
Strasbourg;Cathedrale;96
Bordeaux;Quinconces;110
Paris;Bastille;84
Marseille;Prado;94
Lyon;CroixRousse;50
Toulouse;Rangueil;33
Nice;Promenade;60
Nantes;Erdre;154
Strasbourg;Orangerie;96
Bordeaux;Bacalan;120
Paris;Republique;30
Marseille;VieuxPort;40
Lyon;Bellecour;165
Toulouse;Capitole;73
Nice;Cimiez;35
Nantes;Commerce;abc
Strasbourg;Orangerie;99
Bordeaux;Quinconces;156
Paris;Montmartre;23
Marseille;VieuxPort;152
Lyon;CroixRousse;149
Toulouse;Capitole;189
Nice;Cimiez;60
Nantes;Commerce;58
Strasbourg;Orangerie;190
Bordeaux;Bacalan;146
Paris;Republique;103
Marseille;Prado;128
Lyon;Bellecour;96
Toulouse;Capitole;159
Nice;Promenade;113
Nantes;Erdre;49
Strasbourg;Orangerie;104
Bordeaux;Bacalan;171
Paris;Montmartre;55
Marseille;Prado;179
Lyon;Bellecour;102
Toulouse;Rangueil;28
Nice;Cimiez;73
Nantes;Erdre;160
Strasbourg;Orangerie;40
Bordeaux;Quinconces;31
Paris;Montmartre;131
Marseille;Prado;36
Lyon;Bellecour;181
Toulouse;Rangueil;53
Nice;Promenade;121
Nantes;Commerce;200
Strasbourg;Orangerie;85
Bordeaux;Bacalan;133
Paris;Bastille;179
Marseille;Prado;88
Lyon;CroixRousse;115
Toulouse;Rangueil;96
Nice;Cimiez;195
Nantes;Commerce;-28
Strasbourg;Orangerie;59
Bordeaux;Quinconces;123
Paris;Bastille;86
Marseille;VieuxPort;65
Lyon;CroixRousse;79
Toulouse;Capitole;127
Nice;Promenade;138
Nantes;Erdre;138
Strasbourg;Orangerie;158
Bordeaux;Quinconces;81
Paris;Montmartre;81
Marseille;VieuxPort;120
Lyon;CroixRousse;abc
Toulouse;Capitole;60
Nice;Cimiez;47
Nantes;Erdre;31
Strasbourg;Cathedrale;62
Bordeaux;Quinconces;-47
Paris;Bastille;185
Marseille;VieuxPort;180
Lyon;Bellecour;78
Toulouse;Capitole;163
Nice;Cimiez;186
Nantes;Erdre;144
Strasbourg;Orangerie;122
Bordeaux;Bacalan;200
Paris;Bastille;92
Marseille;Prado;121
Lyon;CroixRousse;119
Toulouse;Capitole;182
Nice;Cimiez;164
Nantes;Commerce;78
Strasbourg;Cathedrale;31
Bordeaux;Quinconces;47
Paris;Republique;76
Marseille;VieuxPort;abc
Lyon;Bellecour;32
Toulouse;Rangueil;199
Nice;Promenade;115
Nantes;Commerce;150
Strasbourg;Orangerie;187
Bordeaux;Quinconces;182
Paris;Republique;182
Marseille;Prado;64
Lyon;CroixRousse;96
Toulouse;Rangueil;72
Nice;Cimiez;43
Nantes;Erdre;139
Strasbourg;Orangerie;136
Bordeaux;Bacalan;155
Paris;Bastille;45
Marseille;VieuxPort;186
Lyon;Bellecour;90
Toulouse;Rangueil;24
Nice;Cimiez;95
Nantes;Erdre;98
Strasbourg;Cathedrale;43
Bordeaux;Quinconces;49
Paris;Montmartre;176
Marseille;VieuxPort;168
Lyon;CroixRousse;155
Toulouse;Capitole;188
Nice;Promenade;195
Nantes;Erdre;50
Strasbourg;Orangerie;92
Bordeaux;Quinconces;-25
Paris;Bastille;179
Marseille;Prado;55
Lyon;CroixRousse;30
Toulouse;Rangueil;95
Nice;Cimiez;166
Nantes;Commerce;57
Strasbourg;Cathedrale;23
Bordeaux;Quinconces;172
Paris;Bastille;165
Marseille;Prado;abc
Lyon;CroixRousse;190
Toulouse;Rangueil;171
Nice;Promenade;148
Nantes;Erdre;108
Strasbourg;Cathedrale;46
Bordeaux;Bacalan;176
Paris;Montmartre;28
Marseille;VieuxPort;30
Lyon;CroixRousse;27
Toulouse;Rangueil;51
